iter	Logloss
0	0.6624906059
1	0.634936057
2	0.6095788117
3	0.587419113
4	0.568750243
5	0.5501501952
6	0.5329146371
7	0.5168366882
8	0.5020840702
9	0.4894638225
10	0.4785458145
11	0.4669729206
12	0.4569750152
13	0.4470689139
14	0.438659758
15	0.4300709775
16	0.4230019577
17	0.416609784
18	0.4100674202
19	0.4039072253
20	0.3986324863
21	0.3934574514
22	0.3880563322
23	0.3845399388
24	0.3802797903
25	0.3767540612
26	0.3738413376
27	0.3699605347
28	0.3668590186
29	0.3647173389
30	0.3620621278
31	0.359374771
32	0.357318459
33	0.3545179444
34	0.3523216646
35	0.350115336
36	0.3479155501
37	0.3453058363
38	0.343123881
39	0.3415311324
40	0.3402155619
41	0.3389727409
42	0.3377099381
43	0.3358223807
44	0.33466732
45	0.3332600935
46	0.3323442514
47	0.3305142871
48	0.3292250937
49	0.3281042553
50	0.3272048503
51	0.3260539327
52	0.3244547048
53	0.3236639608
54	0.3228776544
55	0.3218933657
56	0.3202110442
57	0.3189092419
58	0.3182632085
59	0.3174607752
60	0.3166448111
61	0.3158378662
62	0.3150599995
63	0.3144854505
64	0.3136752318
65	0.3130337256
66	0.3123660226
67	0.311160991
68	0.3103427918
69	0.309697918
70	0.309129151
71	0.3086515542
72	0.3078900124
73	0.3072413801
74	0.3067037083
75	0.306010656
76	0.3053727591
77	0.3047551471
78	0.3037006658
79	0.3027310959
80	0.301994456
81	0.3014039314
82	0.3009120619
83	0.3000565517
84	0.2996463425
85	0.299069594
86	0.2985235165
87	0.2979864678
88	0.2974498506
89	0.2964264962
90	0.2959218103
91	0.2952999707
92	0.294752872
93	0.2944934088
94	0.2938441379
95	0.2934024343
96	0.2928704479
97	0.2925447344
98	0.2922692571
99	0.2919275188
100	0.2914709341
101	0.2909881479
102	0.2900612846
103	0.2896436709
104	0.289294771
105	0.2887477454
106	0.2884021989
107	0.2879718304
108	0.2876072348
109	0.2871732192
110	0.2869976064
111	0.2866395579
112	0.2859292017
113	0.2854636018
