iter	Passed	Remaining
0	147	147672
1	155	77563
2	160	53366
3	165	41235
4	170	33867
5	173	28728
6	176	25078
7	180	22325
8	183	20190
9	187	18515
10	190	17120
11	193	15944
12	196	14950
13	200	14121
14	204	13397
15	207	12757
16	211	12203
17	214	11690
18	218	11259
19	221	10859
20	224	10482
21	228	10144
22	231	9841
23	235	9578
24	238	9315
25	242	9080
26	245	8856
27	249	8651
28	252	8467
29	256	8283
30	259	8113
31	262	7951
32	266	7813
33	270	7676
34	273	7543
35	276	7417
36	280	7298
37	284	7194
38	287	7087
39	290	6980
40	294	6886
41	298	6809
42	302	6723
43	305	6636
44	309	6561
45	313	6494
46	316	6424
47	320	6356
48	323	6287
49	327	6219
50	331	6163
51	334	6100
52	337	6037
53	341	5980
54	344	5922
55	348	5871
56	351	5819
57	355	5769
58	358	5717
59	361	5667
60	365	5624
61	368	5579
62	372	5534
63	375	5491
64	378	5450
65	382	5418
66	386	5379
67	390	5345
68	393	5309
69	397	5276
70	400	5244
71	404	5208
72	407	5174
73	410	5139
74	414	5107
75	417	5080
76	421	5049
77	424	5020
78	428	4990
79	431	4964
80	435	4943
81	439	4922
82	443	4902
83	447	4882
84	451	4863
85	455	4840
86	459	4817
87	462	4796
88	466	4777
89	470	4757
90	474	4739
91	478	4719
92	481	4700
93	485	4679
94	488	4656
95	492	4635
96	496	4619
97	499	4599
98	503	4578
99	506	4556
100	509	4538
101	513	4520
102	516	4500
103	520	4481
104	523	4463
105	527	4446
106	530	4430
107	534	4411
108	537	4392
109	540	4376
110	544	4360
111	548	4346
112	551	4332
113	555	4318
114	558	4301
115	562	4286
116	565	4268
117	568	4251
118	572	4236
119	575	4220
120	578	4205
121	582	4192
122	585	4178
123	589	4162
124	592	4146
125	602	4179
126	605	4164
127	609	4148
128	612	4135
129	615	4121
130	619	4106
131	622	4093
132	625	4077
133	629	4067
134	632	4053
135	635	4039
136	639	4025
137	642	4011
138	645	4000
139	649	3987
140	652	3975
141	655	3961
142	658	3948
143	662	3936
144	666	3927
145	669	3915
146	672	3903
147	676	3892
148	679	3881
149	682	3869
150	686	3858
151	689	3846
152	692	3836
153	696	3826
154	699	3814
155	702	3802
156	705	3790
157	709	3781
158	712	3770
159	716	3760
160	719	3749
161	722	3738
162	725	3727
163	729	3719
164	733	3709
165	736	3698
166	739	3688
167	742	3679
168	746	3669
169	749	3658
170	752	3649
171	756	3639
172	759	3631
173	762	3621
174	766	3612
175	769	3602
176	772	3593
177	776	3585
178	779	3575
179	782	3566
180	786	3557
181	789	3548
182	792	3539
183	796	3530
184	799	3521
185	802	3512
186	806	3506
187	810	3501
188	814	3494
189	817	3487
190	821	3480
191	825	3475
192	829	3469
193	833	3461
194	837	3456
195	840	3448
196	844	3441
197	847	3433
198	850	3424
199	854	3416
200	857	3407
201	860	3399
202	863	3390
203	866	3382
204	870	3374
205	873	3366
206	876	3358
207	879	3349
208	882	3341
209	886	3333
210	889	3326
211	893	3319
212	896	3311
213	899	3303
214	902	3295
215	905	3287
216	909	3280
217	912	3273
218	915	3265
219	919	3258
220	922	3251
221	925	3244
222	928	3236
223	932	3229
224	935	3222
225	939	3215
226	942	3209
227	945	3201
228	948	3194
229	952	3188
230	955	3181
231	959	3175
232	962	3168
233	965	3161
234	969	3154
235	972	3147
236	976	3142
237	979	3136
238	983	3130
239	986	3124
240	990	3118
241	993	3111
242	996	3104
243	1000	3099
244	1003	3092
245	1007	3086
246	1010	3080
247	1013	3074
248	1017	3068
249	1020	3061
250	1024	3056
251	1027	3050
252	1031	3044
253	1034	3037
254	1037	3031
255	1041	3026
256	1044	3020
257	1048	3014
258	1051	3007
259	1054	3002
260	1058	2997
261	1062	2991
262	1065	2986
263	1068	2979
264	1072	2973
265	1075	2967
266	1078	2961
267	1081	2954
268	1084	2947
269	1088	2941
270	1091	2935
271	1094	2929
272	1097	2923
273	1100	2916
274	1103	2910
275	1107	2905
276	1111	2901
277	1115	2896
278	1118	2890
279	1121	2885
280	1125	2878
281	1128	2872
282	1131	2866
283	1134	2861
284	1138	2855
285	1141	2849
286	1144	2843
287	1147	2837
288	1150	2830
289	1154	2825
290	1157	2819
291	1160	2813
292	1163	2807
293	1166	2802
294	1170	2796
295	1173	2791
296	1177	2786
297	1180	2781
298	1184	2775
299	1187	2770
300	1190	2765
301	1194	2760
302	1198	2756
303	1201	2751
304	1205	2748
305	1209	2744
306	1213	2739
307	1217	2734
